DATE,Number of Vehicles,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
6/13/2016,1591,0,1,0,0,0,0
6/14/2016,1585,0,0,1,0,0,0
6/15/2016,1564,0,0,0,1,0,0
6/16/2016,1640,0,0,0,0,1,0
6/17/2016,1761,0,0,0,0,0,1
6/18/2016,2178,0,0,0,0,0,0
6/19/2016,1101,1,0,0,0,0,0
6/20/2016,2200,0,1,0,0,0,0
6/21/2016,2279,0,0,1,0,0,0
6/22/2016,2158,0,0,0,1,0,0
6/23/2016,2102,0,0,0,0,1,0
6/24/2016,1763,0,0,0,0,0,1
6/25/2016,841,0,0,0,0,0,0
6/26/2016,771,1,0,0,0,0,0
6/27/2016,2022,0,1,0,0,0,0
6/28/2016,2062,0,0,1,0,0,0
6/29/2016,1983,0,0,0,1,0,0
6/30/2016,1830,0,0,0,0,1,0
7/1/2016,1336,0,0,0,0,0,1
7/2/2016,476,0,0,0,0,0,0
